quarter,rok_2014,rok_2015,rok_2016,rok_2017,razem,srednia_razem,odch_std
1,2325,5883,3750,16765,28723,40793,9877
2,3866,3599,3847,22201,33513,40793,9877
3,6312,9252,6293,30085,51942,40793,9877
4,3956,6755,10478,27806,48995,40793,9877
