rok,miesiac,sredni_czas_obslugi_wniosku
2013,1,0 years 0 mons 280 days 15 hours 0 mins 14.333333 secs
2013,2,0 years 0 mons 268 days 34 hours 20 mins 31.777778 secs
2013,3,0 years 0 mons 220 days 18 hours 24 mins 1.50 secs
2013,4,0 years 0 mons 191 days 29 hours 42 mins 41.333333 secs
2013,5,0 years 0 mons 156 days 16 hours 37 mins 31.60 secs
2013,6,0 years 0 mons 112 days 17 hours 14 mins 17.727273 secs
2013,7,0 years 0 mons 119 days 15 hours 34 mins 25.156814 secs
2013,8,0 years 0 mons 97 days 18 hours 25 mins 39.701552 secs
2013,9,0 years 0 mons 98 days 26 hours 58 mins 21.756881 secs
2013,10,0 years 0 mons 51 days 30 hours 56 mins 49.510605 secs
2013,11,0 years 0 mons 29 days 28 hours 17 mins 4.193276 secs
2013,12,0 years 0 mons 5 days 12 hours 29 mins 46.281865 secs
2014,1,0 years 0 mons 28 days 22 hours 14 mins 37.535599 secs
2014,2,0 years 0 mons 16 days 21 hours 28 mins 11.266601 secs
2014,3,0 years 0 mons 6 days 20 hours 33 mins 58.468344 secs
2014,4,0 years 0 mons 7 days 7 hours 20 mins 12.083774 secs
2014,5,0 years 0 mons 11 days 14 hours 58 mins 47.937628 secs
2014,6,0 years 0 mons 5 days 22 hours 45 mins 0.313257 secs
2014,7,0 years 0 mons 4 days 20 hours 38 mins 48.56478 secs
2014,8,0 years 0 mons 3 days 33 hours 52 mins 15.269163 secs
2014,9,0 years 0 mons 6 days 26 hours 45 mins 5.684317 secs
2014,10,0 years 0 mons 10 days 35 hours 47 mins 36.350961 secs
2014,11,0 years 0 mons 9 days 30 hours 50 mins 43.399798 secs
2014,12,0 years 0 mons 14 days 24 hours 0 mins 32.43027 secs
2015,1,0 years 0 mons 9 days 25 hours 59 mins 4.4745 secs
2015,2,0 years 0 mons 7 days 20 hours 49 mins 28.66356 secs
2015,3,0 years 0 mons 6 days 26 hours 25 mins 46.932069 secs
2015,4,0 years 0 mons 31 days 17 hours 4 mins 10.428986 secs
2015,5,0 years 0 mons 3 days 32 hours 24 mins 54.482799 secs
2015,6,0 years 0 mons 3 days 36 hours 6 mins 45.442729 secs
2015,7,0 years 0 mons 4 days 33 hours 29 mins 28.62879 secs
2015,8,0 years 0 mons 8 days 21 hours 14 mins 14.108408 secs
2015,9,0 years 0 mons 7 days 26 hours 9 mins 4.206968 secs
2015,10,0 years 0 mons 6 days 17 hours 12 mins 57.429593 secs
2015,11,0 years 0 mons 4 days 12 hours 8 mins 43.192561 secs
2015,12,0 years 0 mons 3 days 14 hours 29 mins 29.028467 secs
2016,1,0 years 0 mons 4 days 23 hours 37 mins 48.968421 secs
2016,2,0 years 0 mons 5 days 19 hours 32 mins 33.813477 secs
2016,3,0 years 0 mons 2 days 20 hours 2 mins 50.705021 secs
2016,4,0 years 0 mons 1 days 4 hours 33 mins 35.277835 secs
2016,5,0 years 0 mons 7 days 21 hours 44 mins 47.867049 secs
2016,6,0 years 0 mons 6 days 26 hours 34 mins 19.450092 secs
2016,7,0 years 0 mons 14 days 3 hours 38 mins 2.984021 secs
2016,8,0 years 0 mons 8 days 4 hours 18 mins 58.320706 secs
2016,9,0 years 0 mons 3 days 15 hours 29 mins 1.691521 secs
2016,10,0 years 0 mons 5 days 23 hours 55 mins 38.003289 secs
2016,11,0 years 0 mons 6 days 3 hours 55 mins 17.694732 secs
2016,12,0 years 0 mons 0 days 20 hours 6 mins 33.534923 secs
2017,1,0 years 0 mons 2 days 14 hours 28 mins 9.824426 secs
2017,2,0 years 0 mons 1 days 18 hours 27 mins 8.641953 secs
2017,3,0 years 0 mons 1 days 7 hours 50 mins 21.700314 secs
2017,4,0 years 0 mons 0 days 18 hours 43 mins 49.287315 secs
2017,5,0 years 0 mons 0 days 18 hours 58 mins 18.056752 secs
2017,6,0 years 0 mons 0 days 17 hours 15 mins 40.964168 secs
2017,7,0 years 0 mons 0 days 8 hours 3 mins 39.295678 secs
2017,8,0 years 0 mons 0 days 9 hours 52 mins 24.852216 secs
2017,9,0 years 0 mons 0 days 6 hours 4 mins 21.385356 secs
2017,10,0 years 0 mons 0 days 13 hours 28 mins 33.367146 secs
2017,11,0 years 0 mons 0 days 8 hours 19 mins 28.001408 secs
2017,12,0 years 0 mons 0 days 9 hours 41 mins 38.153319 secs
2018,1,0 years 0 mons 0 days 14 hours 37 mins 5.097787 secs
2018,2,0 years 0 mons 0 days 5 hours 21 mins 35.74536 secs
